                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01311,                 2.5033,                 1.4764,                0.69627,                0.55276,                0.65494,                0.30758,                 0.0114,                 2.8428,                 1.2545,             0.00054065,             0.00054065,             0.00054065
                      2,                0.01171,                 1.4812,                 1.3359,                0.56199,                0.49497,                 0.5131,                0.20012,                0.01388,                 4.7918,                 1.5638,              0.0010692,              0.0010692,              0.0010692
                      3,                 0.0121,                 1.5066,                 1.3807,                0.34379,                0.42714,                 0.3214,                0.13898,                0.01317,                 1.9447,                 1.4876,              0.0015702,              0.0015702,              0.0015702
                      4,                0.01147,                 1.4071,                 1.3422,                 0.5204,                 0.4598,                0.43679,                0.19822,                0.01254,                 1.6451,                  1.437,              0.0015432,              0.0015432,              0.0015432
                      5,                0.01119,                 1.2487,                 1.3068,                0.64164,                0.64573,                0.58783,                0.25247,                0.01272,                 1.6661,                 1.4124,               0.001502,               0.001502,               0.001502
                      6,                 0.0113,                 1.2684,                 1.3477,                0.41805,                0.59045,                 0.3752,                 0.1623,                0.01282,                 1.8568,                 1.4467,              0.0014607,              0.0014607,              0.0014607
                      7,                0.01154,                 1.2644,                 1.3661,                0.70934,                0.58794,                0.65752,                0.31131,                0.01223,                 1.3384,                 1.4506,              0.0014195,              0.0014195,              0.0014195
                      8,                0.01111,                 1.1949,                 1.3273,                0.64479,                0.65222,                0.65537,                0.30242,                0.01188,                 1.4151,                 1.3954,              0.0013782,              0.0013782,              0.0013782
                      9,                0.01113,                 1.1559,                 1.3023,                0.70916,                0.67337,                0.66884,                0.28797,                0.01284,                 1.2778,                 1.4539,              0.0013369,              0.0013369,              0.0013369
                     10,                 0.0108,                 1.1406,                 1.3128,                0.73318,                 0.6608,                0.71766,                0.33453,                0.01209,                 1.2757,                 1.3741,              0.0012957,              0.0012957,              0.0012957
                     11,                0.01082,                 1.1084,                 1.2784,                0.69873,                0.63317,                0.68436,                0.34264,                0.01154,                 1.1734,                 1.3368,              0.0012544,              0.0012544,              0.0012544
                     12,                0.01048,                 1.0354,                 1.2426,                0.69512,                0.60302,                0.66424,                0.26819,                0.01428,                 1.3459,                 1.5326,              0.0012132,              0.0012132,              0.0012132
                     13,                0.01025,                 1.0152,                 1.2666,                0.71637,                0.63568,                0.68284,                0.31731,                0.01275,                 1.1207,                 1.4257,              0.0011719,              0.0011719,              0.0011719
                     14,                0.01059,                 1.0606,                 1.3013,                0.66407,                0.67053,                0.70422,                0.31228,                0.01312,                 1.1198,                 1.4638,              0.0011306,              0.0011306,              0.0011306
                     15,                0.01024,                 1.0047,                 1.2529,                0.69052,                0.71357,                0.72011,                0.36049,                0.01146,                 1.1118,                 1.3656,              0.0010894,              0.0010894,              0.0010894
                     16,                0.01029,                0.96386,                 1.2513,                0.71161,                0.63857,                0.67531,                0.27717,                0.01353,                 1.1644,                 1.4917,              0.0010481,              0.0010481,              0.0010481
                     17,                0.00984,                0.91825,                 1.2205,                0.71546,                0.66332,                0.68387,                0.34624,                0.01157,                 1.0735,                 1.3574,              0.0010069,              0.0010069,              0.0010069
                     18,                0.00984,                0.91881,                 1.2079,                0.73049,                0.68101,                0.71431,                0.31627,                0.01291,                 1.0895,                 1.4396,             0.00096561,             0.00096561,             0.00096561
                     19,                0.00984,                0.88506,                 1.2227,                0.72746,                0.61809,                0.69046,                0.32022,                 0.0124,                 1.0692,                 1.4111,             0.00092435,             0.00092435,             0.00092435
                     20,                0.00967,                0.89294,                 1.2357,                0.74728,                0.68593,                0.71749,                0.32963,                0.01251,                 1.1412,                 1.4432,             0.00088309,             0.00088309,             0.00088309
                     21,                 0.0097,                0.88186,                 1.1847,                0.79601,                0.62563,                0.74637,                0.34093,                0.01259,                 1.1191,                 1.3968,             0.00084184,             0.00084184,             0.00084184
                     22,                0.00949,                0.87603,                 1.2032,                 0.7394,                0.69863,                0.74309,                 0.3298,                0.01329,                  1.086,                 1.4862,             0.00080058,             0.00080058,             0.00080058
                     23,                0.00932,                0.84026,                 1.2073,                0.70429,                0.72409,                0.75617,                0.38119,                0.01166,                 1.0387,                 1.3385,             0.00075932,             0.00075932,             0.00075932
                     24,                0.00953,                0.87518,                 1.2073,                0.77612,                0.64457,                0.73291,                0.36229,                0.01214,                 1.0437,                 1.3725,             0.00071806,             0.00071806,             0.00071806
                     25,                0.00934,                0.82406,                 1.1732,                0.76717,                 0.6206,                0.71334,                0.34243,                0.01238,                 1.0527,                 1.4196,              0.0006768,              0.0006768,              0.0006768
                     26,                0.00915,                0.82326,                 1.1689,                0.71413,                0.65277,                0.70033,                0.32386,                0.01285,                 1.0717,                 1.4585,             0.00063554,             0.00063554,             0.00063554
                     27,                0.00924,                0.81011,                 1.1724,                0.68783,                0.64573,                0.69652,                0.31077,                0.01329,                 1.0563,                 1.4951,             0.00059429,             0.00059429,             0.00059429
                     28,                0.00884,                0.78514,                 1.1657,                0.73633,                0.70866,                 0.7587,                0.35974,                0.01273,                 1.0431,                 1.4579,             0.00055303,             0.00055303,             0.00055303
                     29,                0.00897,                0.77001,                 1.1518,                0.75119,                0.65829,                0.72792,                0.32434,                0.01326,                 1.0562,                 1.4717,             0.00051177,             0.00051177,             0.00051177
                     30,                0.00874,                0.76208,                 1.1405,                0.79198,                0.64091,                0.73763,                0.35375,                0.01234,                0.99813,                 1.4132,             0.00047051,             0.00047051,             0.00047051
                     31,                0.00873,                0.71929,                 1.1553,                0.79147,                0.65829,                0.75856,                  0.371,                0.01204,                0.98332,                  1.382,             0.00042925,             0.00042925,             0.00042925
                     32,                 0.0085,                0.68327,                  1.133,                0.70317,                0.65327,                0.73191,                0.34925,                0.01225,                 1.0199,                 1.3974,             0.00038799,             0.00038799,             0.00038799
                     33,                 0.0082,                0.66827,                 1.1303,                0.74678,                 0.6817,                0.73978,                0.34513,                0.01242,                 1.0405,                 1.4212,             0.00034674,             0.00034674,             0.00034674
                     34,                 0.0081,                0.66851,                 1.1046,                0.71925,                0.69347,                0.75307,                0.36437,                0.01218,                 1.0129,                 1.4037,             0.00030548,             0.00030548,             0.00030548
                     35,                0.00795,                0.63036,                 1.0991,                  0.762,                0.59527,                0.72017,                0.36581,                0.01158,                 1.0656,                 1.3229,             0.00026422,             0.00026422,             0.00026422
                     36,                0.00779,                0.63958,                 1.1009,                0.77776,                0.68585,                0.76439,                0.36892,                0.01205,                0.95405,                 1.3909,             0.00022296,             0.00022296,             0.00022296
                     37,                0.00784,                0.61914,                 1.0759,                0.76429,                0.68593,                0.74146,                0.37081,                0.01162,                0.96798,                 1.3441,              0.0001817,              0.0001817,              0.0001817
                     38,                 0.0077,                0.60471,                 1.0632,                0.77515,                0.67839,                0.75757,                0.38465,                0.01149,                0.94085,                 1.3369,             0.00014044,             0.00014044,             0.00014044
                     39,                0.00757,                 0.5965,                  1.069,                0.72924,                0.66332,                0.73273,                0.37244,                0.01155,                0.98265,                 1.3424,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     40,                0.00748,                0.59541,                 1.0615,                0.73849,                0.65829,                0.73413,                0.37519,                 0.0115,                0.98301,                 1.3447,             5.7928e-05,             5.7928e-05,             5.7928e-05
